DATE,CAPCPI_20180322
1929-01-01,993
1930-01-01,889
1931-01-01,753
1932-01-01,584
1933-01-01,549
1934-01-01,605
1935-01-01,665
1936-01-01,777
1937-01-01,802
1938-01-01,780
1939-01-01,791
1940-01-01,856
1941-01-01,1035
1942-01-01,1324
1943-01-01,1589
1944-01-01,1616
1945-01-01,1621
1946-01-01,1707
1947-01-01,1726
1948-01-01,1806
1949-01-01,1790
1950-01-01,1937
1951-01-01,2156
1952-01-01,2293
1953-01-01,2335
1954-01-01,2313
1955-01-01,2468
1956-01-01,2586
1957-01-01,2672
1958-01-01,2695
1959-01-01,2834
1960-01-01,2920
1961-01-01,2979
1962-01-01,3101
1963-01-01,3204
1964-01-01,3377
1965-01-01,3521
1966-01-01,3772
1967-01-01,3988
1968-01-01,4320
1969-01-01,4676
1970-01-01,4966
1971-01-01,5210
1972-01-01,5653
1973-01-01,6116
1974-01-01,6722
1975-01-01,7306
1976-01-01,7955
1977-01-01,8662
1978-01-01,9656
1979-01-01,10752
1980-01-01,11926
1981-01-01,13128
1982-01-01,13732
1983-01-01,14538
1984-01-01,15864
1985-01-01,16767
1986-01-01,17573
1987-01-01,18491
1988-01-01,19606
1989-01-01,20576
1990-01-01,21494
1991-01-01,21824
1992-01-01,22644
1993-01-01,22964
1994-01-01,23535
1995-01-01,24595
1996-01-01,25885
1997-01-01,27147
1998-01-01,29031
1999-01-01,30474
2000-01-01,33095
2001-01-01,33671
2002-01-01,33901
2003-01-01,35234
2004-01-01,37551
2005-01-01,39521
2006-01-01,42334
2007-01-01,43692
2008-01-01,44162
2009-01-01,42224
2010-01-01,43323
2011-01-01,45854
2012-01-01,48359
2013-01-01,48555
2014-01-01,51317
2015-01-01,54664
2016-01-01,56308
2017-01-01,58272
