DATE,CASTHPI
1975-01-01,41.61
1975-04-01,42.76
1975-07-01,44.24
1975-10-01,45.84
1976-01-01,47.73
1976-04-01,50.22
1976-07-01,53.54
1976-10-01,55.47
1977-01-01,57.99
1977-04-01,62.96
1977-07-01,67.91
1977-10-01,70.61
1978-01-01,73.18
1978-04-01,75.96
1978-07-01,78.59
1978-10-01,81.63
1979-01-01,84.83
1979-04-01,88.58
1979-07-01,93.08
1979-10-01,96.33
1980-01-01,100.00
1980-04-01,102.9
1980-07-01,106.58
1980-10-01,108.4
1981-01-01,110.66
1981-04-01,113.11
1981-07-01,116.52
1981-10-01,117.8
1982-01-01,115.33
1982-04-01,116.45
1982-07-01,117.02
1982-10-01,116.95
1983-01-01,117.78
1983-04-01,117.75
1983-07-01,117.55
1983-10-01,117.97
1984-01-01,119.76
1984-04-01,120.38
1984-07-01,121.85
1984-10-01,122.93
1985-01-01,124.67
1985-04-01,126.49
1985-07-01,129.32
1985-10-01,130.72
1986-01-01,132.39
1986-04-01,134.94
1986-07-01,137.87
1986-10-01,141.21
1987-01-01,144.85
1987-04-01,148.37
1987-07-01,153.06
1987-10-01,157.39
1988-01-01,163.15
1988-04-01,169.9
1988-07-01,177.98
1988-10-01,187.79
1989-01-01,196.54
1989-04-01,206.26
1989-07-01,218.11
1989-10-01,225.02
1990-01-01,227.74
1990-04-01,228.51
1990-07-01,230.43
1990-10-01,228.87
1991-01-01,228.68
1991-04-01,227.23
1991-07-01,227.23
1991-10-01,228.92
1992-01-01,227.69
1992-04-01,225.33
1992-07-01,224.88
1992-10-01,222.8
1993-01-01,219.29
1993-04-01,217.41
1993-07-01,215.57
1993-10-01,214.27
1994-01-01,212.14
1994-04-01,207.06
1994-07-01,203.97
1994-10-01,200.95
1995-01-01,199.65
1995-04-01,201.5
1995-07-01,203.8
1995-10-01,203.51
1996-01-01,203.53
1996-04-01,200.91
1996-07-01,200.54
1996-10-01,201.56
1997-01-01,202.62
1997-04-01,204.62
1997-07-01,208.73
1997-10-01,212.35
1998-01-01,216.93
1998-04-01,221.59
1998-07-01,227.4
1998-10-01,231.75
1999-01-01,235.32
1999-04-01,239.39
1999-07-01,244.84
1999-10-01,250.04
2000-01-01,260.92
2000-04-01,267.95
2000-07-01,276.93
2000-10-01,285.49
2001-01-01,296.48
2001-04-01,305.52
2001-07-01,311.98
2001-10-01,316.36
2002-01-01,324.81
2002-04-01,335.84
2002-07-01,348.46
2002-10-01,358.62
2003-01-01,366.91
2003-04-01,373.75
2003-07-01,386.36
2003-10-01,411.06
2004-01-01,424.23
2004-04-01,450.72
2004-07-01,496.57
2004-10-01,515.54
2005-01-01,538.04
2005-04-01,569.44
2005-07-01,597.51
2005-10-01,624.25
2006-01-01,637.16
2006-04-01,642.85
2006-07-01,644.88
2006-10-01,640.98
2007-01-01,632.01
2007-04-01,621.24
2007-07-01,598.22
2007-10-01,574
2008-01-01,541.92
2008-04-01,497.4
2008-07-01,459.86
2008-10-01,444.01
2009-01-01,439.84
2009-04-01,419.74
2009-07-01,410.47
2009-10-01,411.81
2010-01-01,408.91
2010-04-01,407.74
2010-07-01,409.76
2010-10-01,405.16
2011-01-01,390.94
2011-04-01,384.58
2011-07-01,385.95
2011-10-01,384.64
2012-01-01,380.22
2012-04-01,380.96
2012-07-01,389.15
2012-10-01,397.14
2013-01-01,406.09
2013-04-01,425.19
2013-07-01,449
2013-10-01,464.08
2014-01-01,474.11
2014-04-01,486.53
2014-07-01,496.88
2014-10-01,502.38
2015-01-01,506.64
2015-04-01,519.02
2015-07-01,533.39
2015-10-01,540.86
2016-01-01,547.72
2016-04-01,557.35
2016-07-01,568.64
2016-10-01,577.24
2017-01-01,588.35
2017-04-01,601.86
2017-07-01,613.67
2017-10-01,624.83
2018-01-01,637.53
2018-04-01,655.15
2018-07-01,666.8
2018-10-01,667.8
