OBS,GPGDP,GPGDP_F1
1979Q4,7.977650917,10.3
1980Q1,8.317058067,9.8
1980Q2,8.782286101,10
1980Q3,9.205479452,9.8
1980Q4,11.05159793,11.5
1981Q1,9.99000999,10.9
1981Q2,7.500635647,8.9
1981Q3,7.196189763,8.2
1981Q4,7.49397295,8.8
1982Q1,5.599342198,6.9
1982Q2,4.817942683,6.6
1982Q3,5.761188196,5.7
1982Q4,4.438707689,5.4
1983Q1,3.231522588,4.4
1983Q2,2.706636173,4.5
1983Q3,4.19036891,3.1
1983Q4,2.942979767,4.1
1984Q1,4.256810343,4.9
1984Q2,3.365209139,4.1
1984Q3,3.243028033,4.6
1984Q4,2.685575801,4.3
1985Q1,4.600652651,4.5
1985Q2,2.475142797,2.8
1985Q3,2.319754709,2.7
1985Q4,2.313347037,2.7
1986Q1,1.953652707,4
1986Q2,1.599448466,2.9
1986Q3,1.6136785,2.2
1986Q4,2.229555286,1.5
1987Q1,2.904119837,2.8
1987Q2,2.680621202,3
1987Q3,2.904237302,3.2
