DATE,IPB50001N
1919-01-01,4.9286
1919-02-01,4.7347
1919-03-01,4.6240
1919-04-01,4.7071
1919-05-01,4.8455
1919-06-01,5.1501
1919-07-01,5.3162
1919-08-01,5.4270
1919-09-01,5.4546
1919-10-01,5.4270
1919-11-01,5.3162
1919-12-01,4.9562
1920-01-01,5.6485
1920-02-01,5.6762
1920-03-01,5.6762
1920-04-01,5.3162
1920-05-01,5.6485
1920-06-01,5.6485
1920-07-01,5.3439
1920-08-01,5.4546
1920-09-01,5.3439
1920-10-01,5.2054
1920-11-01,4.7071
1920-12-01,4.1256
1921-01-01,4.0425
1921-02-01,3.9871
1921-03-01,3.8764
1921-04-01,3.9041
1921-05-01,4.0979
1921-06-01,4.0425
1921-07-01,3.9041
1921-08-01,4.0979
1921-09-01,4.2087
1921-10-01,4.4855
1921-11-01,4.3748
1921-12-01,4.0148
1922-01-01,4.3748
1922-02-01,4.6794
1922-03-01,4.9562
1922-04-01,4.7347
1922-05-01,5.0393
1922-06-01,5.2885
1922-07-01,5.1501
1922-08-01,5.0670
1922-09-01,5.4546
1922-10-01,5.8700
1922-11-01,6.0361
1922-12-01,5.8146
1923-01-01,5.8146
1923-02-01,6.0084
1923-03-01,6.2853
1923-04-01,6.3960
1923-05-01,6.5622
1923-06-01,6.4791
1923-07-01,6.2576
1923-08-01,6.2853
1923-09-01,6.2853
1923-10-01,6.2853
1923-11-01,6.1192
1923-12-01,5.6485
1924-01-01,5.8977
1924-02-01,6.1469
1924-03-01,6.1469
1924-04-01,5.9253
1924-05-01,5.7038
1924-06-01,5.4270
1924-07-01,5.2054
1924-08-01,5.5377
1924-09-01,5.8977
1924-10-01,6.0361
1924-11-01,5.9807
1924-12-01,5.8146
1925-01-01,6.1469
1925-02-01,6.2853
1925-03-01,6.3684
1925-04-01,6.3960
1925-05-01,6.3960
1925-06-01,6.2853
1925-07-01,6.2853
1925-08-01,6.3960
1925-09-01,6.4791
1925-10-01,6.7006
1925-11-01,6.6452
1925-12-01,6.3684
1926-01-01,6.3960
1926-02-01,6.6176
1926-03-01,6.7560
1926-04-01,6.7283
1926-05-01,6.7283
1926-06-01,6.7283
1926-07-01,6.6176
1926-08-01,6.9498
1926-09-01,7.1990
1926-10-01,7.1990
1926-11-01,6.9498
1926-12-01,6.5068
1927-01-01,6.6176
1927-02-01,6.9498
1927-03-01,7.0883
1927-04-01,6.9498
1927-05-01,6.9775
1927-06-01,6.9221
1927-07-01,6.6176
1927-08-01,6.8391
1927-09-01,6.9221
1927-10-01,6.8114
1927-11-01,6.5068
1927-12-01,6.1745
1928-01-01,6.4514
1928-02-01,6.7560
1928-03-01,6.9221
1928-04-01,6.9221
1928-05-01,6.9775
1928-06-01,6.9775
1928-07-01,6.8668
1928-08-01,7.2267
1928-09-01,7.5036
1928-10-01,7.6420
1928-11-01,7.3928
1928-12-01,6.9775
1929-01-01,7.3928
1929-02-01,7.6974
1929-03-01,7.8082
1929-04-01,8.0297
1929-05-01,8.2235
1929-06-01,8.1404
1929-07-01,7.9743
1929-08-01,8.1127
1929-09-01,8.2789
1929-10-01,8.1404
1929-11-01,7.3928
1929-12-01,6.6452
1930-01-01,6.8391
1930-02-01,7.0883
1930-03-01,7.0329
1930-04-01,7.1159
1930-05-01,7.0883
1930-06-01,6.8114
1930-07-01,6.2853
1930-08-01,6.2576
1930-09-01,6.3684
1930-10-01,6.1469
1930-11-01,5.7038
1930-12-01,5.3162
1931-01-01,5.3439
1931-02-01,5.6485
1931-03-01,5.7869
1931-04-01,5.9253
1931-05-01,5.8700
1931-06-01,5.6485
1931-07-01,5.4270
1931-08-01,5.3162
1931-09-01,5.2885
1931-10-01,5.0393
1931-11-01,4.7901
1931-12-01,4.5132
1932-01-01,4.4855
1932-02-01,4.5686
1932-03-01,4.4579
1932-04-01,4.2640
1932-05-01,4.1256
1932-06-01,3.9871
1932-07-01,3.7380
1932-08-01,3.8764
1932-09-01,4.3471
1932-10-01,4.4579
1932-11-01,4.2640
1932-12-01,4.0148
1933-01-01,4.0148
1933-02-01,4.1533
1933-03-01,3.8764
1933-04-01,4.2363
1933-05-01,4.9562
1933-06-01,5.6762
1933-07-01,6.0361
1933-08-01,5.8700
1933-09-01,5.7592
1933-10-01,5.3439
1933-11-01,4.9286
1933-12-01,4.7901
1934-01-01,4.9562
1934-02-01,5.4270
1934-03-01,5.7038
1934-04-01,5.8146
1934-05-01,5.8977
1934-06-01,5.7869
1934-07-01,5.2608
1934-08-01,5.2885
1934-09-01,5.1778
1934-10-01,5.2608
1934-11-01,5.0947
1934-12-01,5.2885
1935-01-01,5.7869
1935-02-01,6.1192
1935-03-01,6.0915
1935-04-01,6.0084
1935-05-01,6.0084
1935-06-01,6.0084
1935-07-01,5.9253
1935-08-01,6.2576
1935-09-01,6.5068
1935-10-01,6.8114
1935-11-01,6.8114
1935-12-01,6.6452
1936-01-01,6.5068
1936-02-01,6.5068
1936-03-01,6.6176
1936-04-01,7.0883
1936-05-01,7.3098
1936-06-01,7.3375
1936-07-01,7.3375
1936-08-01,7.5867
1936-09-01,7.8912
1936-10-01,8.1127
1936-11-01,8.1404
1936-12-01,8.1404
1937-01-01,7.9189
1937-02-01,8.2512
1937-03-01,8.5834
1937-04-01,8.6388
1937-05-01,8.7496
1937-06-01,8.5004
1937-07-01,8.3619
1937-08-01,8.5004
1937-09-01,8.4450
1937-10-01,7.9189
1937-11-01,6.9498
1937-12-01,6.1469
1938-01-01,5.8700
1938-02-01,5.9253
1938-03-01,6.0084
1938-04-01,5.8700
1938-05-01,5.8146
1938-06-01,5.8146
1938-07-01,6.1192
1938-08-01,6.5899
1938-09-01,6.9775
1938-10-01,7.1713
1938-11-01,7.3098
1938-12-01,7.1159
1939-01-01,7.3098
1939-02-01,7.3098
1939-03-01,7.3098
1939-04-01,7.1713
1939-05-01,7.1990
1939-06-01,7.4482
1939-07-01,7.5867
1939-08-01,7.6974
1939-09-01,8.2789
1939-10-01,8.8050
1939-11-01,9.0541
1939-12-01,8.9988
1940-01-01,8.8603
1940-02-01,8.5004
1940-03-01,8.2789
1940-04-01,8.3342
1940-05-01,8.6111
1940-06-01,8.9711
1940-07-01,8.9988
1940-08-01,9.1095
1940-09-01,9.4141
1940-10-01,9.6356
1940-11-01,9.8848
1940-12-01,10.1617
1941-01-01,10.3832
1941-02-01,10.6047
1941-03-01,10.8816
1941-04-01,10.8262
1941-05-01,11.3523
1941-06-01,11.5461
1941-07-01,11.5738
1941-08-01,11.7676
1941-09-01,11.8784
1941-10-01,12.0445
1941-11-01,12.1276
1941-12-01,12.2660
1942-01-01,12.4875
1942-02-01,12.6537
1942-03-01,12.7644
1942-04-01,12.3491
1942-05-01,12.4045
1942-06-01,12.5152
1942-07-01,12.7367
1942-08-01,13.1797
1942-09-01,13.4843
1942-10-01,13.9550
1942-11-01,14.2873
1942-12-01,14.5919
1943-01-01,14.7580
1943-02-01,15.1179
1943-03-01,15.2841
1943-04-01,15.4502
1943-05-01,15.5886
1943-06-01,15.5886
1943-07-01,15.8932
1943-08-01,16.2532
1943-09-01,16.5854
1943-10-01,16.8346
1943-11-01,17.0008
1943-12-01,16.7516
1944-01-01,17.0838
1944-02-01,17.3053
1944-03-01,17.3330
1944-04-01,17.3330
1944-05-01,17.3053
1944-06-01,17.3330
1944-07-01,17.0838
1944-08-01,17.2500
1944-09-01,17.0008
1944-10-01,17.0008
1944-11-01,16.8623
1944-12-01,16.7516
1945-01-01,16.7792
1945-02-01,16.8346
1945-03-01,16.7792
1945-04-01,16.5024
1945-05-01,16.1424
1945-06-01,15.8378
1945-07-01,15.2841
1945-08-01,13.6504
1945-09-01,12.3768
1945-10-01,11.8230
1945-11-01,12.2660
1945-12-01,12.2383
1946-01-01,11.7122
1946-02-01,11.1862
1946-03-01,12.3768
1946-04-01,12.1276
1946-05-01,11.6846
1946-06-01,12.4875
1946-07-01,12.7644
1946-08-01,13.2351
1946-09-01,13.4843
1946-10-01,13.6504
1946-11-01,13.7058
1946-12-01,13.6781
1947-01-01,13.9550
1947-02-01,14.2319
1947-03-01,14.2873
1947-04-01,14.0104
1947-05-01,13.9273
1947-06-01,14.0381
1947-07-01,13.2351
1947-08-01,14.2319
1947-09-01,14.5919
1947-10-01,15.0072
1947-11-01,14.8964
1947-12-01,14.6195
1948-01-01,14.7026
1948-02-01,14.8687
1948-03-01,14.6472
1948-04-01,14.5088
1948-05-01,14.6195
1948-06-01,14.8964
1948-07-01,14.2319
1948-08-01,15.0626
1948-09-01,15.3117
1948-10-01,15.6440
1948-11-01,15.1179
1948-12-01,14.6472
1949-01-01,14.4811
1949-02-01,14.5088
1949-03-01,14.2319
1949-04-01,13.9273
1949-05-01,13.6504
1949-06-01,13.7058
1949-07-01,13.0136
1949-08-01,14.1212
1949-09-01,14.4811
1949-10-01,14.1765
1949-11-01,14.1212
1949-12-01,14.0381
1950-01-01,14.3980
1950-02-01,14.5919
1950-03-01,15.0626
1950-04-01,15.4225
1950-05-01,15.5609
1950-06-01,16.1701
1950-07-01,15.6994
1950-08-01,17.4715
1950-09-01,17.6099
1950-10-01,18.0806
1950-11-01,17.4715
1950-12-01,17.4438
1951-01-01,17.5545
1951-02-01,17.9422
1951-03-01,18.0806
1951-04-01,17.8868
1951-05-01,17.5822
1951-06-01,17.7760
1951-07-01,16.4747
1951-08-01,17.3607
1951-09-01,17.7760
1951-10-01,17.9145
1951-11-01,17.6930
1951-12-01,17.4438
1952-01-01,17.7207
1952-02-01,18.1360
1952-03-01,18.2467
1952-04-01,17.7760
1952-05-01,17.4715
1952-06-01,17.5268
1952-07-01,16.2532
1952-08-01,18.3021
1952-09-01,19.3266
1952-10-01,19.7142
1952-11-01,19.7142
1952-12-01,19.4097
1953-01-01,19.6035
1953-02-01,20.1296
1953-03-01,20.3788
1953-04-01,20.1849
1953-05-01,20.1849
1953-06-01,20.2403
1953-07-01,19.2435
1953-08-01,20.1849
1953-09-01,20.0742
1953-10-01,20.1849
1953-11-01,19.2435
1953-12-01,18.4683
1954-01-01,18.5513
1954-02-01,18.8282
1954-03-01,18.7451
1954-04-01,18.5236
1954-05-01,18.5513
1954-06-01,18.7728
1954-07-01,17.6653
1954-08-01,18.5513
1954-09-01,18.9389
1954-10-01,19.3543
1954-11-01,19.4097
1954-12-01,19.3266
1955-01-01,19.7973
1955-02-01,20.3234
1955-03-01,20.7941
1955-04-01,20.9602
1955-05-01,21.1263
1955-06-01,21.3755
1955-07-01,20.1849
1955-08-01,21.2094
1955-09-01,21.7355
1955-10-01,22.4000
1955-11-01,22.1785
1955-12-01,21.8463
1956-01-01,21.9016
1956-02-01,22.1231
1956-03-01,22.1508
1956-04-01,22.2893
1956-05-01,21.9570
1956-06-01,22.0678
1956-07-01,19.9634
1956-08-01,21.8463
1956-09-01,22.6492
1956-10-01,23.0922
1956-11-01,22.6492
1956-12-01,22.4277
1957-01-01,22.4277
1957-02-01,22.9815
1957-03-01,23.0092
1957-04-01,22.5385
1957-05-01,22.3723
1957-06-01,22.8430
1957-07-01,21.4863
1957-08-01,22.7323
1957-09-01,22.7877
1957-10-01,22.6492
1957-11-01,21.8463
1957-12-01,20.9048
1958-01-01,20.6280
1958-02-01,20.4064
1958-03-01,20.1849
1958-04-01,19.7973
1958-05-01,19.9080
1958-06-01,20.8495
1958-07-01,19.8527
1958-08-01,21.2371
1958-09-01,21.9570
1958-10-01,22.1785
1958-11-01,22.4831
1958-12-01,22.0124
1959-01-01,22.4000
1959-02-01,23.0922
1959-03-01,23.5906
1959-04-01,24.0336
1959-05-01,24.3105
1959-06-01,24.7812
1959-07-01,22.7600
1959-08-01,22.8984
1959-09-01,23.3414
1959-10-01,23.3691
1959-11-01,23.0092
1959-12-01,23.8398
1960-01-01,24.5320
1960-02-01,24.6705
1960-03-01,24.6151
1960-04-01,24.4213
1960-05-01,24.3659
1960-06-01,24.4213
1960-07-01,22.9538
1960-08-01,23.7291
1960-09-01,24.0890
1960-10-01,24.1998
1960-11-01,23.3414
1960-12-01,22.3170
1961-01-01,22.4277
1961-02-01,22.6769
1961-03-01,22.9815
1961-04-01,23.5629
1961-05-01,23.9229
1961-06-01,24.6151
1961-07-01,23.3691
1961-08-01,24.5597
1961-09-01,25.1412
1961-10-01,25.7226
1961-11-01,25.5011
1961-12-01,25.1135
1962-01-01,24.9197
1962-02-01,25.6949
1962-03-01,26.0826
1962-04-01,26.1933
1962-05-01,26.1933
1962-06-01,26.5533
1962-07-01,25.2242
1962-08-01,26.0272
1962-09-01,27.0240
1962-10-01,27.1348
1962-11-01,26.6364
1962-12-01,25.9718
1963-01-01,26.1933
1963-02-01,27.0517
1963-03-01,27.4117
1963-04-01,27.6332
1963-05-01,27.9100
1963-06-01,28.4361
1963-07-01,26.5533
1963-08-01,27.3286
1963-09-01,28.5469
1963-10-01,29.0176
1963-11-01,28.4915
1963-12-01,27.6885
1964-01-01,28.0485
1964-02-01,28.8791
1964-03-01,29.0176
1964-04-01,29.4883
1964-05-01,29.6267
1964-06-01,30.0974
1964-07-01,28.3254
1964-08-01,29.4329
1964-09-01,30.6235
1964-10-01,30.3743
1964-11-01,30.5681
1964-12-01,30.1805
1965-01-01,30.6789
1965-02-01,31.4819
1965-03-01,32.1464
1965-04-01,32.1464
1965-05-01,32.3956
1965-06-01,33.1709
1965-07-01,31.3711
1965-08-01,32.3402
1965-09-01,33.4201
1965-10-01,34.1953
1965-11-01,33.6416
1965-12-01,33.0878
1966-01-01,33.5585
1966-02-01,34.4999
1966-03-01,35.1921
1966-04-01,35.1368
1966-05-01,35.3859
1966-06-01,36.1889
1966-07-01,33.9461
1966-08-01,35.1645
1966-09-01,36.7981
1966-10-01,37.1857
1966-11-01,36.1889
1966-12-01,35.2752
1967-01-01,35.4967
1967-02-01,35.8628
1967-03-01,35.8079
1967-04-01,36.0111
1967-05-01,35.7180
1967-06-01,36.5351
1967-07-01,34.1318
1967-08-01,36.0024
1967-09-01,37.0555
1967-10-01,37.2881
1967-11-01,37.1495
1967-12-01,36.5097
1968-01-01,36.5835
