DATE,IPG22111N
1972-01-01,33.6881
1972-02-01,34.2265
1972-03-01,32.6147
1972-04-01,31.3948
1972-05-01,31.2336
1972-06-01,35.1394
1972-07-01,37.5309
1972-08-01,39.6452
1972-09-01,37.1884
1972-10-01,35.0706
1972-11-01,36.0317
1972-12-01,37.1347
1973-01-01,38.3943
1973-02-01,38.3264
1973-03-01,35.5776
1973-04-01,34.4375
1973-05-01,35.0895
1973-06-01,40.7827
1973-07-01,43.1192
1973-08-01,44.7755
1973-09-01,41.7986
1973-10-01,39.3328
1973-11-01,38.8931
1973-12-01,37.5901
1974-01-01,37.8018
1974-02-01,38.4322
1974-03-01,36.7619
1974-04-01,35.0079
1974-05-01,36.6280
1974-06-01,39.1104
1974-07-01,44.9649
1974-08-01,45.2614
1974-09-01,40.9517
1974-10-01,39.8045
1974-11-01,40.3328
1974-12-01,42.0639
1975-01-01,43.0647
1975-02-01,42.3941
1975-03-01,40.3630
1975-04-01,38.9011
1975-05-01,39.4214
1975-06-01,43.0639
1975-07-01,46.7523
1975-08-01,48.3485
1975-09-01,43.1486
1975-10-01,41.2905
1975-11-01,41.5230
1975-12-01,45.0847
1976-01-01,47.3614
1976-02-01,44.1797
1976-03-01,42.8429
1976-04-01,40.9119
1976-05-01,40.6905
1976-06-01,47.5685
1976-07-01,49.9936
1976-08-01,50.6191
1976-09-01,46.6992
1976-10-01,44.6935
1976-11-01,47.7657
1976-12-01,51.1783
1977-01-01,54.7711
1977-02-01,50.9278
1977-03-01,46.9783
1977-04-01,45.0347
1977-05-01,47.2454
1977-06-01,52.6546
1977-07-01,56.3347
1977-08-01,55.6188
1977-09-01,51.2524
1977-10-01,46.5013
1977-11-01,47.5700
1977-12-01,50.9260
1978-01-01,54.5659
1978-02-01,52.8428
1978-03-01,47.1467
1978-04-01,44.0229
1978-05-01,46.6179
1978-06-01,53.2039
1978-07-01,56.1454
1978-08-01,57.8454
1978-09-01,53.3614
1978-10-01,49.3057
1978-11-01,51.2181
1978-12-01,53.6822
1979-01-01,58.4929
1979-02-01,58.0023
1979-03-01,50.1481
1979-04-01,47.1386
1979-05-01,46.5318
1979-06-01,51.6368
1979-07-01,55.7147
1979-08-01,57.4442
1979-09-01,52.4266
1979-10-01,50.0118
1979-11-01,50.1910
1979-12-01,51.8638
1980-01-01,54.2108
1980-02-01,55.3560
1980-03-01,51.0805
1980-04-01,46.9615
1980-05-01,46.6145
1980-06-01,52.1359
1980-07-01,59.0687
1980-08-01,60.3991
1980-09-01,56.0029
1980-10-01,51.1531
1980-11-01,51.5733
1980-12-01,54.2240
1981-01-01,57.5638
1981-02-01,55.4096
1981-03-01,51.8332
1981-04-01,49.5849
1981-05-01,48.5715
1981-06-01,57.0422
1981-07-01,60.6277
1981-08-01,60.5790
1981-09-01,55.0786
1981-10-01,50.7609
1981-11-01,51.3319
1981-12-01,55.0318
1982-01-01,58.1052
1982-02-01,54.1188
1982-03-01,50.9840
1982-04-01,48.6056
1982-05-01,48.2198
1982-06-01,54.1607
1982-07-01,58.3740
1982-08-01,57.5621
1982-09-01,53.4676
1982-10-01,49.1164
1982-11-01,50.2032
1982-12-01,51.1291
1983-01-01,53.9559
1983-02-01,52.2885
1983-03-01,49.9715
1983-04-01,47.9160
1983-05-01,47.1341
1983-06-01,53.9988
1983-07-01,60.7889
1983-08-01,63.9377
1983-09-01,57.2693
1983-10-01,52.4985
1983-11-01,53.3229
1983-12-01,58.1498
1984-01-01,60.9486
1984-02-01,57.7819
1984-03-01,55.9442
1984-04-01,51.7520
1984-05-01,53.2242
1984-06-01,59.7185
1984-07-01,62.0070
1984-08-01,64.8044
1984-09-01,58.6330
1984-10-01,54.0923
1984-11-01,55.4983
1984-12-01,57.8748
1985-01-01,66.5053
1985-02-01,63.5441
1985-03-01,56.7636
1985-04-01,54.5395
1985-05-01,56.2990
1985-06-01,61.4127
1985-07-01,66.6530
1985-08-01,66.5280
1985-09-01,62.5364
1985-10-01,57.3689
1985-11-01,58.1473
1985-12-01,63.8538
1986-01-01,64.9793
1986-02-01,63.0782
1986-03-01,56.5723
1986-04-01,56.0216
1986-05-01,57.5618
1986-06-01,63.9006
1986-07-01,70.5416
1986-08-01,68.1600
1986-09-01,64.3871
1986-10-01,59.9989
1986-11-01,61.0478
1986-12-01,64.7665
1987-01-01,67.2172
1987-02-01,65.6825
1987-03-01,61.3641
1987-04-01,58.9142
1987-05-01,61.1372
1987-06-01,68.9205
1987-07-01,73.3325
1987-08-01,73.8635
1987-09-01,67.4212
1987-10-01,61.6514
1987-11-01,63.6463
1987-12-01,68.0038
1988-01-01,73.0937
1988-02-01,71.9007
1988-03-01,67.3094
1988-04-01,63.7036
1988-05-01,64.8052
1988-06-01,73.9514
1988-07-01,79.3603
1988-08-01,81.3162
1988-09-01,71.8586
1988-10-01,65.7952
1988-11-01,66.1680
1988-12-01,71.5997
1989-01-01,72.6631
1989-02-01,73.4314
1989-03-01,68.4105
1989-04-01,63.6119
1989-05-01,66.5810
1989-06-01,74.4963
1989-07-01,81.1135
1989-08-01,82.6627
1989-09-01,73.3699
1989-10-01,68.8448
1989-11-01,70.9465
1989-12-01,81.1609
1990-01-01,78.2112
1990-02-01,77.7118
1990-03-01,71.5383
1990-04-01,67.0280
1990-05-01,69.4724
1990-06-01,79.5259
1990-07-01,83.9420
1990-08-01,85.3124
1990-09-01,78.2514
1990-10-01,70.1189
1990-11-01,70.5536
1990-12-01,76.5266
1991-01-01,80.2809
1991-02-01,76.2293
1991-03-01,71.9110
1991-04-01,68.2174
1991-05-01,74.0855
1991-06-01,83.4480
1991-07-01,88.5219
1991-08-01,86.7126
1991-09-01,78.5611
1991-10-01,71.8977
1991-11-01,73.3077
1991-12-01,77.0030
1992-01-01,81.1268
1992-02-01,77.8805
1992-03-01,71.8389
1992-04-01,69.3229
1992-05-01,70.9136
1992-06-01,79.6130
1992-07-01,85.4755
1992-08-01,83.9653
1992-09-01,78.5443
1992-10-01,72.0385
1992-11-01,75.5071
1992-12-01,81.6897
1993-01-01,82.0982
1993-02-01,82.1316
1993-03-01,74.7835
1993-04-01,70.2882
1993-05-01,73.7466
1993-06-01,83.6897
1993-07-01,90.1930
1993-08-01,89.2400
1993-09-01,79.2056
1993-10-01,71.3244
1993-11-01,75.3465
1993-12-01,80.4847
1994-01-01,85.4957
1994-02-01,82.0108
1994-03-01,75.5087
1994-04-01,71.7176
1994-05-01,74.6687
1994-06-01,86.9977
1994-07-01,90.3132
1994-08-01,89.6229
1994-09-01,81.5655
1994-10-01,74.8146
1994-11-01,78.6188
1994-12-01,82.6927
1995-01-01,86.4199
1995-02-01,84.1104
1995-03-01,77.4962
1995-04-01,74.8796
1995-05-01,79.1800
1995-06-01,87.5836
1995-07-01,95.7891
1995-08-01,98.3851
1995-09-01,84.5318
1995-10-01,78.6788
1995-11-01,80.6414
1995-12-01,86.8257
1996-01-01,90.6718
1996-02-01,87.9916
1996-03-01,82.8504
1996-04-01,78.0849
1996-05-01,83.7087
1996-06-01,91.2651
1996-07-01,94.3304
1996-08-01,94.6620
1996-09-01,85.0359
1996-10-01,78.2712
1996-11-01,81.7550
1996-12-01,85.5492
1997-01-01,89.7942
1997-02-01,85.2626
1997-03-01,79.2190
1997-04-01,75.6588
1997-05-01,77.0509
1997-06-01,87.6040
1997-07-01,95.7273
1997-08-01,95.8043
1997-09-01,88.1053
1997-10-01,79.0659
1997-11-01,82.3234
1997-12-01,87.4059
1998-01-01,87.9493
1998-02-01,86.1544
1998-03-01,83.8927
1998-04-01,77.9587
1998-05-01,84.7100
1998-06-01,95.7302
1998-07-01,101.5153
1998-08-01,100.0055
1998-09-01,94.0962
1998-10-01,84.9309
1998-11-01,84.9682
1998-12-01,91.2172
1999-01-01,94.4109
1999-02-01,91.3928
1999-03-01,88.0268
1999-04-01,81.9458
1999-05-01,86.3875
1999-06-01,98.6345
1999-07-01,107.1526
1999-08-01,105.0685
1999-09-01,94.0914
1999-10-01,85.1745
1999-11-01,87.4054
1999-12-01,95.0276
2000-01-01,96.9539
2000-02-01,93.3514
2000-03-01,88.1326
2000-04-01,85.1683
2000-05-01,92.5613
2000-06-01,101.1758
2000-07-01,104.1996
