DATE,ND000336Q
2002-01-01,358.33
2002-04-01,373.077
2002-07-01,369.88
2002-10-01,371.388
2003-01-01,353.32
2003-04-01,381.064
2003-07-01,382.51
2003-10-01,392.471
2004-01-01,374.707
2004-04-01,397.021
2004-07-01,403.727
2004-10-01,418.553
2005-01-01,402.94
2005-04-01,431.087
2005-07-01,434.697
2005-10-01,447.639
2006-01-01,440.821
2006-04-01,467.244
2006-07-01,468.49
2006-10-01,477.599
2007-01-01,464.4
2007-04-01,496.153
2007-07-01,502.095
2007-10-01,519.406
2008-01-01,494.5
2008-04-01,513.421
2008-07-01,503.025
2008-10-01,483.278
2009-01-01,417.559
2009-04-01,423.927
2009-07-01,426.574
2009-10-01,436.288
2010-01-01,406.922
2010-04-01,443.729
2010-07-01,454.545
2010-10-01,475.804
2011-01-01,443.158
2011-04-01,476.018
2011-07-01,496.285
2011-10-01,519.891
2012-01-01,502.691
2012-04-01,534.881
2012-07-01,528.706
2012-10-01,552.249
2013-01-01,520.459
2013-04-01,548.881
2013-07-01,554.191
2013-10-01,582.432
2014-01-01,549.46
2014-04-01,588.42
2014-07-01,598.042
2014-10-01,621.474
2015-01-01,572.914
2015-04-01,605.475
2015-07-01,604.998
2015-10-01,616.355
2016-01-01,571.544
2016-04-01,604.2
2016-07-01,609.699
2016-10-01,625.783
2017-01-01,594.442
2017-04-01,636.19
2017-07-01,641.049
2017-10-01,666.377
2018-01-01,635.922
2018-04-01,687.827
2018-07-01,684.407
2018-10-01,713.391
