Date,Value
2019-03-31,2584.96
2018-12-31,2485.81
2018-09-30,2914.22
2018-06-30,2754.89
2018-03-31,2729.67
2017-12-31,2723.93
2017-09-30,2545.55
2017-06-30,2504.37
2017-03-31,2446.78
2016-12-31,2345.32
2016-09-30,2252.51
2016-06-30,2179.17
2016-03-31,2140.02
2015-12-31,2188.8
2015-09-30,2059.57
2015-06-30,2217.17
2015-03-31,2220.22
2014-12-31,2204.97
2014-09-30,2110.52
2014-06-30,2058.97
2014-03-31,1987.69
2013-12-31,1955.08
2013-09-30,1816.07
2013-06-30,1747.26
2013-03-31,1679.18
2012-12-31,1561.28
2012-09-30,1572.11
2012-06-30,1453.59
2012-03-31,1526.39
2011-12-31,1388.58
2011-09-30,1304.0
2011-06-30,1437.37
2011-03-31,1471.27
2010-12-31,1427.66
2010-09-30,1294.67
2010-06-30,1252.71
2010-03-31,1334.19
2009-12-31,1295.94
2009-09-30,1219.0
2009-06-30,1082.17
2009-03-31,897.12
2008-12-31,1052.09
2008-09-30,1401.93
2008-06-30,1544.89
2008-03-31,1554.45
2007-12-31,1775.03
2007-09-30,1809.83
2007-06-30,1831.68
2007-03-31,1726.81
2006-12-31,1769.04
2006-09-30,1636.87
2006-06-30,1556.66
2006-03-31,1631.99
2005-12-31,1616.31
2005-09-30,1554.22
2005-06-30,1557.91
2005-03-31,1557.99
2004-12-31,1588.26
2004-09-30,1483.37
2004-06-30,1505.0
2004-03-31,1511.66
2003-12-31,1477.82
2003-09-30,1387.35
2003-06-30,1355.54
2003-03-31,1158.43
2002-12-31,1252.78
2002-09-30,1208.4
2002-06-30,1420.63
2002-03-31,1626.39
2001-12-31,1633.08
2001-09-30,1476.66
2001-06-30,1753.94
2001-03-31,1696.25
2000-12-31,1927.84
2000-09-30,2130.13
2000-06-30,2137.29
2000-03-31,2123.2
1999-12-31,2139.52
1999-09-30,1978.73
1999-06-30,2005.61
1999-03-31,1957.74
1998-12-31,1830.01
1998-09-30,1572.37
1998-06-30,1713.84
1998-03-31,1673.26
1997-12-31,1503.74
1997-09-30,1465.04
1997-06-30,1377.78
1997-03-31,1247.84
1996-12-31,1181.13
1996-09-30,1077.92
1996-06-30,1075.22
1996-03-31,1047.44
1995-12-31,1009.09
1995-09-30,952.17
1995-06-30,891.39
1995-03-31,820.95
1994-12-31,766.37
1994-09-30,787.76
1994-06-30,774.56
1994-03-31,794.14
1993-12-31,805.47
1993-09-30,797.7
1993-06-30,782.05
1993-03-31,790.09
1992-12-31,773.77
1992-09-30,746.45
1992-06-30,733.95
1992-03-31,737.04
1991-12-31,710.07
1991-09-30,711.29
1991-06-30,701.05
1991-03-31,695.03
1990-12-31,619.26
1990-09-30,599.06
1990-06-30,699.25
1990-03-31,662.82
1989-12-31,696.75
1989-09-30,700.26
1989-06-30,657.41
1989-03-31,603.2
1988-12-31,578.33
1988-09-30,563.82
1988-06-30,578.19
1988-03-31,574.82
1987-12-31,526.35
1987-09-30,698.47
1987-06-30,669.29
1987-03-31,657.64
1986-12-31,567.03
1986-09-30,545.02
1986-06-30,564.61
1986-03-31,538.13
1985-12-31,478.02
1985-09-30,428.44
1985-06-30,442.47
1985-03-31,424.96
1984-12-31,393.73
1984-09-30,398.7
1984-06-30,372.1
1984-03-31,386.65
1983-12-31,409.03
1983-09-30,418.48
1983-06-30,421.5
1983-03-31,391.06
1982-12-31,359.98
1982-09-30,315.11
1982-06-30,285.04
1982-03-31,295.51
1981-12-31,331.94
1981-09-30,319.92
1981-06-30,368.04
1981-03-31,379.34
1980-12-31,389.88
1980-09-30,379.56
1980-06-30,349.26
1980-03-31,329.44
1979-12-31,354.23
1979-09-30,366.91
1979-06-30,354.53
1979-03-31,361.45
1978-12-31,357.8
1978-09-30,393.79
1978-06-30,377.52
1978-03-31,353.09
1977-12-31,380.78
1977-09-30,395.01
1977-06-30,412.27
1977-03-31,426.13
1976-12-31,453.41
1976-09-30,461.63
1976-06-30,451.72
1976-03-31,455.83
1975-12-31,402.81
1975-09-30,390.84
1975-06-30,434.48
1975-03-31,400.68
1974-12-31,325.71
1974-09-30,339.3
1974-06-30,461.85
1974-03-31,513.78
1973-12-31,517.06
1973-09-30,588.83
1973-06-30,597.59
1973-03-31,654.25
1972-12-31,696.81
1972-09-30,654.94
1972-06-30,652.76
1972-03-31,655.66
1971-12-31,608.14
1971-09-30,614.03
1971-06-30,619.05
1971-03-31,627.57
1970-12-31,570.25
1970-09-30,530.95
1970-06-30,491.02
1970-03-31,584.9
1969-12-31,609.1
1969-09-30,642.05
1969-06-30,682.71
1969-03-31,693.28
1968-12-31,756.11
1968-09-30,727.39
1968-06-30,729.97
1968-03-31,654.64
1967-12-31,708.53
1967-09-30,718.68
1967-06-30,692.01
1967-03-31,682.95
1966-12-31,623.05
1966-09-30,599.73
1966-06-30,669.46
1966-03-31,697.85
1965-12-31,727.03
1965-09-30,712.88
1965-06-30,678.27
1965-03-31,699.18
1964-12-31,678.24
1964-09-30,675.96
1964-06-30,652.37
1964-03-31,642.74
1963-12-31,604.97
1963-09-30,598.08
1963-06-30,577.46
1963-03-31,542.67
1962-12-31,519.33
1962-09-30,480.86
1962-06-30,464.27
1962-03-31,588.56
1961-12-31,602.71
1961-09-30,565.07
1961-06-30,554.99
1961-03-31,542.3
1960-12-31,480.39
1960-09-30,466.7
1960-06-30,487.56
1960-03-31,471.67
1959-12-31,506.3
1959-09-30,490.74
1959-06-30,497.67
1959-03-31,489.77
1958-12-31,466.49
1958-09-30,426.98
1958-06-30,390.27
1958-03-31,368.52
1957-12-31,357.91
1957-09-30,391.68
1957-06-30,426.49
1957-03-31,399.18
1956-12-31,424.08
1956-09-30,430.86
1956-06-30,428.74
1956-03-31,446.62
1955-12-31,426.68
1955-09-30,415.44
1955-06-30,375.51
1955-03-31,344.55
1954-12-31,330.1
1954-09-30,295.77
1954-06-30,271.34
1954-03-31,248.95
1953-12-31,232.64
1953-09-30,218.03
